material,rmse,mae,r2,phonon_rmse,phonon_mae,phonon_scaled_rmse,phonon_rrmse,rmsd,maxd,spacegroup,benchmark_spacegroup,min_frequency,benchmark_min_frequency,max_frequency,benchmark_max_frequency,mean_frequency,benchmark_mean_frequency,volume,benchmark_volume,heat_capacity,benchmark_heat_capacity,entropy,benchmark_entropy,free_energy,benchmark_free_energy,k_diff_high_temp_limit,benchmark_k_diff_high_temp_limit
mp-14207,0.5252514708316222,0.4808810368627839,0.8679060585719158,0.5258991855882231,0.4865257471414986,0.1153476356059267,0.03476592439199,0.0041451023843286,0.0049768843166152,Pnma (62),Pnma (62),-3.733851369808414e-05,-1.270235169124925,4.710997427505474,5.452884508568699,2.9125030635874967,3.00366281052087,571.9175617943274,573.9270431648102,490.68181576556185,486.9870576185196,1025.4741621012072,933.3887389611176,-155.49769577882836,-127.0022689415446,0.2629842724190025,0.2708986314490792
mp-1519,0.6236743241926915,0.5255475197805957,0.838022336606784,0.5405448458235022,0.4719159364765749,0.1855900841159787,0.0492341016276834,1.5528108537759516e-16,1.5528108537759516e-16,Fm-3m (225),Fm-3m (225),-5.1778790634204656e-05,-0.0065134092946747,5.5626966660291375,6.432533733300667,3.512581435566789,3.508114343987374,65.26049269730514,65.50126099618089,48.78005903257269,48.415173306166295,91.0176209008984,83.90934716520128,-12.002814889313244,-9.757275606130246,0.3035177882873406,0.3027599210800756
mp-1564,0.7748938463036118,0.6748150164695773,0.7159938992724056,0.7629684540023428,0.6715548403080495,0.3573682909490652,0.1279654977450333,3.8874728583016044e-16,5.669099889315475e-16,Fd-3m (227),Fd-3m (227),-0.4755725557123529,-0.1610455214826184,3.762035793747934,4.735272451703404,2.274277448675887,2.405678541554076,114.98451845081364,113.33243804327574,95.3017560753729,98.08339581350172,237.772370665317,217.93116479090432,-42.192209346504285,-34.97128323158822,0.2049973199165953,0.2178900401896942
mp-1592,0.1770292363698421,0.1544658081542638,0.9686920445186966,0.1776093574910999,0.1570786773732129,0.0418503494819037,0.016385015443649,0.006512529728478,0.00819586296051,P2_1/c (14),P2_1/c (14),-3.653129620454835e-05,-0.0043590673609691,3.7842484938316097,4.071160542460646,2.372511783394018,2.356515795200913,281.3828239876673,281.1441790164945,295.7428153764957,295.20941580550766,644.8886420254822,624.9806760281723,-102.58888739583422,-96.45386661141538,0.2288762856437098,0.2273974567390451
mp-16897,0.699069248276439,0.6877423633673405,0.5124246195835711,0.6980919586722663,0.6880128461821383,0.2595343988470067,0.089540082714506,0.0153812912114002,0.0277701067711437,P2_1/c (14),P2_1/c (14),-0.2203256390111591,-0.0026703344921888,3.642526103583177,4.449743099106095,2.4882612595326563,2.7229894998729622,1364.7395303122837,1354.995214883551,986.7851994889768,980.1266739185206,2252.2287631568543,1917.5141477410348,-373.3813386755643,-270.59700415784664,0.2118347718456568,0.2323724166571655
mp-16922,0.7148270654894197,0.6914788312638345,0.4668299608720806,0.7133756388539572,0.6911252858267187,0.1736757572333356,0.0657853031495779,0.028090689411401,0.0505496354458536,P2_1/c (14),P2_1/c (14),-3.980112496914758e-05,-0.0027849588861766,3.425096275057084,4.471138216178629,2.3025773417842874,2.4548753573020097,1551.765966105306,1542.1787236714697,989.8240382589112,983.1068753979972,2386.269067940478,2027.9996256145416,-414.1731796289808,-304.649892781766,0.1878120044196823,0.200648417631507
mp-1883,0.5225925104905716,0.3269673383043548,0.7989576547633798,0.2989617616634289,0.2260279946122767,0.2313696181567333,0.1018151242408618,6.937859996425378e-17,6.937859996425379e-17,Fm-3m (225),Fm-3m (225),-0.8224220490894466,-1.9927371991714888,3.4874766977400893,3.9334300286860073,2.204685693418817,2.1647323680593886,65.31043128746387,65.82117069067203,49.1969248211488,49.03535550445312,110.95114500036443,105.460275166192,-18.256307335894128,-16.600173153570367,0.1904555779759681,0.1865191983082311
mp-19717,0.25992132992784,0.1907433069649896,0.8904956688734262,0.2123390974847588,0.1577910438335998,0.1699228616920504,0.0843405024164508,1.0904589064939132e-15,1.0904589064939132e-15,Fm-3m (225),Fm-3m (225),-0.0001309627028562,-0.0263599598902084,3.2869294112108096,3.4509219164739577,1.8212920449248264,1.8843796908141104,70.16111044037773,70.81175552372038,49.51630458843259,49.45823092048897,118.23760975495954,114.0886542208488,-20.39355348137296,-19.13131528237425,0.1536226677468553,0.1584556847081114
mp-19941,0.6337722033546421,0.580566290065933,0.9499407753580188,0.6331521387905121,0.5857705997899563,0.3308570755054639,0.061565830202049,0.021629054507648,0.0333454457684057,Pnma (62),Pnma (62),-1.5216030759303674,-2.1809012904380043,9.92876372971212,10.78469271022687,4.49968192490778,4.691713650444693,661.1975378974637,665.5336057148616,650.4140189881869,648.4456921897004,1137.1901954194902,1051.9563947088757,-126.25985240975908,-96.47456348291728,0.4330671892317845,0.4505663043435459
mp-20123,0.3252997801780548,0.3019790882195278,0.9296283390413116,0.3235912625469626,0.2996889276122537,0.1826075693834045,0.0620754134751514,0.0087267534929596,0.0120880467877562,Pma2 (28),Pma2 (28),-0.0002112563827745,-0.035620977094016,4.5702653992684965,4.8535297885702695,2.524358211523494,2.676756664861461,681.2409536576737,679.9329512488273,589.8862032598776,587.7927012027241,1260.7178132884642,1183.3639151258024,-195.9686607083814,-172.1221612027003,0.2284997230805074,0.2424497878465867
